Timestamp,Age ,Gender,Current State or Union Territory,City,Which Tier does your city belong to?,Marital Status,What is your financial status?,"Say for example , a similar product with similar features is being sold at half the price by an unknown seller as compared to a branded product. Would you purchase that product? or Simply Do you prefer cost over brands?",What is the Product Category that you shop very frequently?,How much time do you spend while picking the right product to buy?,"On a scale of 1 to 5 , how often do you shop in the selected product category monthly? ",What is the average money that you spend while shopping the above items in one time?,Which product among Electronics do you shop very often?,Which product among Fashion do you shop very often?,Which product among Clothing do you shop very often?,Which OTT subscriptions do you use the most?,Which type of Books do you buy the most?
6/14/2021 18:32:18,24,Female,Chandigarh,,Tier 2,Not Married,Freelancing,No,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,5,Between ₹1000-₹5000,,Purses / Bags,,,
6/14/2021 18:34:00,27,Male,Himachal Pradesh,Mandi,Tier 3,Not Married,Regular Job,No,Electronics,Couple of Weeks,1,Between ₹1000-₹5000,Speakers,,,,
6/14/2021 19:04:24,24,Female,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,No,Clothing,Within a day,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 19:08:58,27,Male,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Yes,Clothing,Within a day,2,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 19:36:34,20,Male,Haryana,Gurgaon ,Tier 2,Not Married,Student,Maybe,Electronics,Couple of Weeks,3,Less Than ₹1000,Headphones / Earphones,,,,
6/14/2021 19:39:26,20,Male,Haryana,Gurgaon,Tier 2,Not Married,Student,Maybe,"Fashion ( Makeup, cosmetics, Perfume etc )",Within a day,1,Between ₹1000-₹5000,,Shirt,,,
6/14/2021 20:01:25,24,Male,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,Maybe,Clothing,Within a day,1,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 20:06:39,20,Male,Haryana,Yamunanagar,Tier 3,Not Married,Student,No,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Less than hour,5,Between ₹1000-₹5000,,,,Amazon Prime,
6/14/2021 20:08:58,19,Male,Uttar Pradesh,Noida,Tier 2,Not Married,Student,Maybe,Clothing,Within a day,1,Between ₹1000-₹5000,,,T-shirts / Shirts,,
6/14/2021 20:14:47,20,Male,Punjab,Mohali,Tier 2,Not Married,Student,Maybe,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Less than hour,1,Less Than ₹1000,,,,Netflix,
6/14/2021 20:21:49,20,Male,Chandigarh,Chandigarh,Tier 2,Not Married,Student,Maybe,Electronics,Within a day,3,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/14/2021 20:32:02,19,Female,Jammu and Kashmir,Jammu,Tier 2,Not Married,Student,Maybe,Clothing,Within a day,1,Less Than ₹1000,,,Lower,,
6/14/2021 21:09:41,19,Female,Delhi,New delhi,Tier 1,Not Married,Student,No,Clothing,Within a day,2,Greater than ₹5000,,,T-shirts / Shirts,,
6/14/2021 21:43:18,24,Male,Maharashtra,Pune,Tier 1,Not Married,Regular Job,No,Electronics,Less than hour,2,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/14/2021 21:55:22,48,Female,Uttar Pradesh,Lucknow,Tier 2,Married,Housewife,Yes,Clothing,An entire month,2,Less Than ₹1000,,,Lower,,
6/14/2021 21:56:34,28,Female,Maharashtra,Mumbai,Tier 1,Not Married,Regular Job,No,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,4,Between ₹1000-₹5000,,Perfumes,,,
6/14/2021 22:02:22,20,Female,Jammu and Kashmir,,Tier 2,Not Married,Student,Maybe,Books,Within a day,3,Less Than ₹1000,,,,,Adventure / Crime
6/14/2021 22:04:29,30,Female,Maharashtra,,Tier 1,Not Married,Freelancing,Maybe,Books,Couple of Weeks,3,Between ₹1000-₹5000,,,,,Fiction
6/14/2021 22:05:08,24,Male,Uttar Pradesh,Noida,Tier 1,Not Married,Regular Job,No,Clothing,Within a day,3,Greater than ₹5000,,,T-shirts / Shirts,,
6/14/2021 22:05:25,30,Male,Maharashtra,,Tier 1,Not Married,Regular Job,Maybe,Electronics,Couple of Weeks,4,Greater than ₹5000,Headphones / Earphones,,,,
6/15/2021 3:55:27,24,Male,Gujarat,Ahmedabad,Tier 1,Not Married,Regular Job,No,Clothing,Within a day,4,Between ₹1000-₹5000,,,Shoes,,
6/15/2021 4:01:17,31,Female,Rajasthan,Agra,Tier 2,Married,Freelancing,Yes,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Within a day,4,Between ₹1000-₹5000,,,,Disney Hotstar,
6/15/2021 4:04:56,19,Male,Bihar,Gaya,Tier 3,Not Married,Student,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Couple of Weeks,2,Less Than ₹1000,,Purses / Bags,,,
6/15/2021 4:08:05,24,Male,Uttar Pradesh,Lucknow,Tier 2,Married,Regular Job,No,Books,Couple of Weeks,4,Less Than ₹1000,,,,,Comics
6/15/2021 4:10:10,45,Male,Karnataka,Bangalore,Tier 1,Married,Regular Job,No,Clothing,Within a day,3,Between ₹1000-₹5000,,,Shoes,,
6/15/2021 14:12:13,40,Female,Haryana,Ambala,Tier 2,Married,Housewife,Maybe,"Fashion ( Makeup, cosmetics, Perfume etc )",Within a day,2,Less Than ₹1000,,Jewellery,,,
6/15/2021 14:13:39,33,Male,Punjab,Ludhiana,Tier 2,Married,Regular Job,Yes,"OTT Subscriptions ( Netflix , Amazon , prime video etc )",Less than hour,1,Less Than ₹1000,,,,Amazon Prime,
6/15/2021 14:15:29,29,Female,Chandigarh,Chandigarh ,Tier 2,Not Married,Student,Maybe,Electronics,Within a day,2,Between ₹1000-₹5000,"Utility Devices ( like pen drive , cables etc )",,,,
6/15/2021 14:44:54,54,Female,Uttar Pradesh,Lucknow,Tier 2,Married,Housewife,No,Netflux,Less than hour,3,Less Than ₹1000,,,,,
6/15/2021 17:23:42,45,Female,Delhi,New delhi,Tier 1,Married,Housewife,No,Clothing,Within a day,4,Less Than ₹1000,,,T-shirts / Shirts,,
6/15/2021 18:45:20,21,Male,Chandigarh,Chandigarh,Tier 2,Not Married,Student,Maybe,Electronics,Less than hour,3,Between ₹1000-₹5000,Headphones / Earphones,,,,
6/15/2021 18:45:57,22,Male,Chandigarh,Chandigarh,Tier 2,Not Married,Student,Yes,Electronics,Within a day,5,Greater than ₹5000,Mouse / Keyboard,,,,
6/15/2021 18:46:35,23,Female,Chandigarh,Chandigarh,Tier 2,Not Married,Student,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Within a day,5,Greater than ₹5000,,Cosmetics,,,
6/15/2021 18:47:02,25,Female,Chandigarh,Chandigarh,Tier 2,Not Married,Student,Yes,"Fashion ( Makeup, cosmetics, Perfume etc )",Less than hour,5,Between ₹1000-₹5000,,Jewellery,,,
6/15/2021 18:47:28,25,Female,Chandigarh,Chandigarh,Tier 2,Not Married,Student,Yes,Clothing,Less than hour,5,Less Than ₹1000,,,T-shirts / Shirts,,
6/15/2021 21:11:42,54,Male,Delhi,New Delhi,Tier 1,Married,Regular Job,Yes,Books,Less than hour,2,Between ₹1000-₹5000,,,,,Fiction
6/15/2021 21:15:15,52,Male,Karnataka,Bangalore,Tier 1,Married,Freelancing,Maybe,Clothing,Within a day,1,Between ₹1000-₹5000,,,Lower,,
